,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-08 09:00:00+00:00,20.85,81.3063245,24.196572,50.68100425,272.16175375,94.1144125,873.0536725,1416.3637395,1.86864375,0.0,2014.3522075,1418.23238325,2014.3522075,-596.11982425
2026-02-08 10:00:00+00:00,20.85,81.201519,24.2043845,54.20455725,281.141668,94.10958925,797.74929025,1353.4610082499998,5.477994499999999,0.0,1988.23462,1358.9390027499999,1988.23462,-629.2956172500001
2026-02-08 11:00:00+00:00,20.85,81.25700275,24.20954125,54.558266,257.02263625,94.300719,708.21664,1240.41480525,2.9433895,0.0,1946.5935175,1243.35819475,1946.5935175,-703.23532275
2026-02-08 12:00:00+00:00,20.85,81.04559449999999,24.20481725,45.8094705,198.0965515,94.19417,699.34389625,1163.5445,0.0,0.0,1891.2809300000001,1163.5445,1891.2809300000001,-727.7364300000002
2026-02-08 13:00:00+00:00,20.8536325,81.13732025,24.2021865,46.62995875,104.7371275,93.71484,636.99189575,1008.26696125,0.0,0.0,1842.6862175,1008.26696125,1842.6862175,-834.4192562500001
2026-02-08 14:00:00+00:00,21.026266500000002,81.3106105,24.20135175,46.11025475,27.1039305,92.97259975,683.671565,976.39657875,0.50521375,0.0,1854.47677,976.9017925,1854.47677,-877.5749774999999
2026-02-08 15:00:00+00:00,21.03,81.28489375000001,24.187523,80.0281455,1.12542975,92.41281875,752.06292925,1052.13174,34.9047955,0.0,1946.787855,1087.0365355000001,1946.787855,-859.7513194999999
2026-02-08 16:00:00+00:00,21.03,81.3026515,24.15788075,80.56608025,8.675e-05,91.752556,852.41341025,1151.2226655,33.6333585,0.0,2029.5130075,1184.856024,2029.5130075,-844.6569835
2026-02-08 17:00:00+00:00,21.03,81.3551485,24.15198875,86.50575275,0.0,91.35287825,920.53381,1224.92957825,38.934537500000005,0.0,2025.10318,1263.86411575,2025.10318,-761.23906425
2026-02-08 18:00:00+00:00,20.9911635,81.3848345,24.1509635,86.26758625,0.0,90.36602325,942.61832925,1245.7789002499999,39.0812535,0.0,1995.80351,1284.8601537499999,1995.80351,-710.9433562500001
2026-02-08 19:00:00+00:00,21.00410075,81.36103225000001,24.15066,44.293159,0.0,91.184894,915.25797675,1177.25182275,0.0,0.0,1924.8581175,1177.25182275,1924.8581175,-747.60629475
2026-02-08 20:00:00+00:00,20.9974335,86.56689675,24.1446325,44.92457125,0.0,91.201481,859.9249485,1127.7599635000001,0.0,0.0,1823.0483,1127.7599635000001,1823.0483,-695.2883364999998
2026-02-08 21:00:00+00:00,20.997527,155.19367275,24.14289725,45.506200750000005,0.0,91.12755975,811.88846675,1148.85632425,0.0,52.9377795,1725.49446,1148.85632425,1778.4322395,-629.57591525
