,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-09 21:00:00+00:00,0.0,27.102989251341732,0.0,585.9998405332605,0.0,0.0,0.0,0.0,0.0,0.0,7.447170215397795
2026-02-09 22:00:00+00:00,0.0,15.421976220398932,0.0,543.4990940767317,0.0,0.0,0.0,0.0,0.0,0.0,7.0789297028694005
2026-02-09 23:00:00+00:00,0.0,16.092768690558398,0.0,346.6949140345598,8.534900364787026,1.5408528129006647,0.0,0.0,6.9259150797592115,0.0,2.4356490174348533
2026-02-10 00:00:00+00:00,0.0,20.609224386445838,0.0,428.6955813971838,10.432896197020309,1.966353535351227,0.0,0.0,8.506272507389527,0.0,2.689671976609283
2026-02-10 01:00:00+00:00,0.0,13.287923570120647,0.0,274.04776404567434,7.4438110921011,1.3777551295668053,0.0,0.0,6.113804494606993,0.0,1.5539416679300946
2026-02-10 02:00:00+00:00,0.0,8.342577649626303,0.0,255.30403523952396,4.573270533036424,0.8931377163338692,0.0,0.0,3.7623916927707595,0.0,1.9745871687087004
2026-02-10 03:00:00+00:00,0.0,3.083782319433704,0.0,188.42460323455217,0.21188863743120842,0.04074563963441966,0.0,0.0,0.17188294543692176,0.0,2.1670972235115653
2026-02-10 04:00:00+00:00,0.0,4.361043919027185,0.0,302.2515349565968,0.0,0.0,0.0,0.0,0.0,0.0,3.2374211243760618
2026-02-10 05:00:00+00:00,0.0,12.370697650748252,0.0,705.8534341389878,1.3453760907254182,0.22075654236107173,0.0,0.0,1.0784371555637662,0.0,6.331298421613563
2026-02-10 06:00:00+00:00,0.0,21.401142203508044,0.0,924.6003524444161,7.214721062571192,1.0348348254678954,0.0,0.0,5.029526550443457,0.0,7.194422913593331
2026-02-10 07:00:00+00:00,0.0009792808639116062,14.034955413494748,0.0,788.0705464398112,0.0,0.0,0.0,0.0,0.0,0.0,7.093518865830111
2026-02-10 08:00:00+00:00,0.005200555959872989,15.934596328121552,0.0,743.4303399111171,0.0,0.0,0.0,0.0,0.0,0.0,6.704863204801607
2026-02-10 09:00:00+00:00,0.016250211041701837,19.489636445494963,0.0,690.3571956778659,0.0,0.0,0.0,0.0,0.0,0.0,6.236917665597389
2026-02-10 10:00:00+00:00,0.02418656296474939,19.154340340581747,0.0,701.8300913086002,0.0,0.0,0.0,0.0,0.0,0.0,6.36638178785321
2026-02-10 11:00:00+00:00,0.022845991974569213,13.256182048495011,0.0,716.1676915691796,0.0,0.0,0.0,0.0,0.0,0.0,6.578280390350759
2026-02-10 12:00:00+00:00,0.01713392452152418,11.134335187265405,0.0,792.8065866644749,0.0,0.0,0.0,0.0,0.0,0.0,7.041944223738247
2026-02-10 13:00:00+00:00,0.007468390592751159,9.20940152321565,0.0,735.1870791174822,0.0,0.0,0.0,0.0,0.0,0.0,6.621050968709391
2026-02-10 14:00:00+00:00,0.0018012241461220187,9.535185292929782,0.0,718.8226255015715,0.0,0.0,0.0,0.0,0.0,0.0,6.515387981352565
2026-02-10 15:00:00+00:00,0.0,10.84466678238842,0.0,714.1118729714431,0.0050186041329839505,0.0006381727259084989,0.0012083851235991862,0.0,0.0,5.875273383804003e-07,6.386594496658644
2026-02-10 16:00:00+00:00,0.0,11.454609086873978,0.0,773.083793608743,0.0,0.0,0.0,0.0,0.0,0.0,6.88659730438295
2026-02-10 17:00:00+00:00,0.0,14.624278489427594,0.0,741.444787369979,0.0,0.0,0.0,0.0,0.0,0.0,6.73093414059328
2026-02-10 18:00:00+00:00,0.0,16.342282056492206,0.0,719.4526618079069,0.0,0.0,0.0,0.0,0.0,0.0,6.7050561356008815
2026-02-10 19:00:00+00:00,0.0,13.761477268392596,0.0,693.5787371857638,0.0,0.0,0.0,0.0,0.0,0.0,6.384785545843675
2026-02-10 20:00:00+00:00,0.0,7.499515745566824,0.0,370.6857363602491,0.0014065295377349077,0.00015875457690288402,0.0,0.0,0.0009524704404617409,0.0,3.6872301396290115
2026-02-10 21:00:00+00:00,0.0,6.1296254855776136,0.0,338.67878770361796,0.0013786699315565078,0.00016788777241223522,0.0,0.0,0.0009526782713569523,0.0,3.38908757482912
2026-02-10 22:00:00+00:00,0.0,5.082747490296613,0.0,274.43005285650423,0.0,0.0,0.0,0.0,0.0,0.0,2.8121996531991367
2026-02-10 23:00:00+00:00,0.0,2.988069555931871,0.0,106.31147048839986,0.004345591648061791,0.0005649651146676202,0.0004257908868873527,0.0,0.0018827409955342227,1.9139276633699944e-07,1.5182406756303233
2026-02-11 00:00:00+00:00,0.0,6.98837003749652,0.0,213.55092266426527,0.0,0.0,0.0,0.0,0.0,0.0,3.5107072982382
